Provider Number,State,Clinical Process of Care Score, Patient Experience of Care Score,Outcome Score,Efficiency Score,TPS
30110,AZ,28.57142857,12,45.71428571,10,26.64285714
30111,AZ,41.42857143,17,41.42857143,30,32.46428571
30112,AZ,85,98,,0,55
30113,AZ,,,40,100,63.07692308
30114,AZ,32.85714286,27,44.28571429,20,32.75
30115,AZ,60,49,47.14285714,50,49.60714286
30117,AZ,71.42857143,15,50,60,45.89285714
30118,AZ,62.85714286,47,3.333333333,30,26.86904762
30119,AZ,50,25,51.42857143,0,31.82142857
30121,AZ,35.71428571,15,44.28571429,0,25.03571429
30122,AZ,37.14285714,42,40,20,35.21428571
30123,AZ,74.28571429,66,67.14285714,10,53.28571429
30130,AZ,60,52,,40,48.33333333
30131,AZ,76.66666667,59,,20,45.69444444
30132,AZ,,,45,80,58.46153846
30134,AZ,,81,,60,70.5
40001,AR,67.14285714,36,30,0,27.71428571
40002,AR,38.57142857,33,36.66666667,60,41.77380952
40004,AR,62.85714286,39,37.14285714,0,30.89285714
40007,AR,38.57142857,23,22.85714286,0,18.75
40010,AR,52.85714286,30,48.57142857,10,34.71428571
40011,AR,,28,53.33333333,70,50.92592593
40014,AR,81.42857143,58,61.42857143,10,49.71428571
40015,AR,64,61,23.33333333,0,30.98333333
40016,AR,18.57142857,33,35.71428571,0,24.39285714
40017,AR,48.57142857,30,70,40,50.35714286
40018,AR,100,21,20,50,35.75
40019,AR,42.85714286,25,6.666666667,40,23.20238095
40020,AR,65.71428571,34,17.14285714,0,21.92857143
40022,AR,31.42857143,21,31.42857143,10,23.46428571
40026,AR,52.85714286,25,31.42857143,20,29.10714286
40027,AR,44.28571429,41,42.85714286,30,39.32142857
40029,AR,44.28571429,37,68.57142857,0,41.10714286
40036,AR,94.28571429,36,21.42857143,0,27
40039,AR,70,26,38,10,31.2
40041,AR,72.85714286,17,67.14285714,0,38.39285714
40050,AR,51.42857143,57,36.66666667,0,34.05952381
40051,AR,58,23,33.33333333,30,32.38333333
40055,AR,94.28571429,9,48.57142857,0,31.10714286
