Provider Number,State,Clinical Process of Care Score, Patient Experience of Care Score,Outcome Score,Efficiency Score,TPS
100008,FL,100,37,71.66666667,0,47.91666667
100009,FL,40,14,34.28571429,0,21.21428571
100012,FL,51.42857143,33,42.85714286,0,30.53571429
100014,FL,90,28,72.85714286,10,47.64285714
100017,FL,34.28571429,21,34.28571429,0,22.39285714
100018,FL,37.14285714,16,45.71428571,10,28.5
100019,FL,65.71428571,23,40,10,30.82142857
100022,FL,45.71428571,13,22.85714286,10,19.46428571
100023,FL,52.85714286,10,35.71428571,0,22.07142857
100025,FL,41.42857143,22,31.42857143,0,22.21428571
100026,FL,51.42857143,14,60,0,32.64285714
100028,FL,65.71428571,40,70,0,44.57142857
100029,FL,77.14285714,13,55.71428571,0,33.25
100030,FL,88.57142857,25,47.14285714,10,36.46428571
100032,FL,57.14285714,14,45.71428571,0,27.5
100034,FL,87.14285714,17,72.85714286,10,44.60714286
100035,FL,60,11,22.85714286,0,17.89285714
100038,FL,94.28571429,35,50,0,38.17857143
100039,FL,87.14285714,29,57.14285714,10,41.32142857
100040,FL,91.42857143,35,51.42857143,10,40.96428571
100043,FL,71.42857143,55,18.57142857,0,28.32142857
100044,FL,28.57142857,17,42.85714286,0,24.25
100045,FL,92.85714286,42,42.85714286,0,36.92857143
100046,FL,68.57142857,41,51.42857143,20,42.67857143
100047,FL,48.57142857,17,63.33333333,0,34.44047619
100048,FL,,77,40,80,61.38888889
100049,FL,65.71428571,40,42.85714286,0,33.71428571
100050,FL,37.14285714,11,65,0,32.46428571
100051,FL,44.28571429,16,52.85714286,30,37.07142857
100052,FL,47.14285714,23,25.71428571,10,23.25
100053,FL,67.14285714,23,54.28571429,10,36.67857143
100054,FL,85.71428571,46,54,20,46.67142857
100055,FL,100,42,64.28571429,0,46.21428571
100057,FL,72.85714286,37,47.14285714,20,40.39285714
100062,FL,30,14,52.85714286,0,27.64285714
100063,FL,62.85714286,30,57.14285714,0,36.64285714
100067,FL,32.85714286,34,44.28571429,0,29.5
100068,FL,90,51,47.14285714,10,43.10714286
100069,FL,62.85714286,67,63.33333333,10,50.86904762
100070,FL,100,8,30,0,24
100071,FL,28.57142857,4,21.42857143,0,12.42857143
100072,FL,78.57142857,42,68.57142857,0,45.78571429
100073,FL,62.85714286,24,54.28571429,0,34
100075,FL,61.42857143,53,60,0,43.39285714
100077,FL,25.71428571,8,77.14285714,0,35.42857143
100080,FL,81.42857143,14,32.85714286,10,27.28571429
100084,FL,41.42857143,19,60,0,32.89285714
100086,FL,100,42,50,0,40.5
100087,FL,75.71428571,49,64.28571429,10,48.03571429
100088,FL,44.28571429,22,61.42857143,0,34.5
100090,FL,34.28571429,31,70,0,39.17857143
100092,FL,68.57142857,18,55.71428571,20,38.64285714
100093,FL,74.28571429,53,32.85714286,0,33.82142857
100099,FL,67.14285714,27,74.28571429,0,43.17857143
100102,FL,10,33,65,0,35.25
100105,FL,54.28571429,9,42.85714286,0,24.82142857
100107,FL,52.85714286,32,55,0,35.28571429
100109,FL,68.57142857,45,67.14285714,0,44.96428571
100110,FL,65.71428571,21,55.71428571,0,34.10714286
100113,FL,57.14285714,20,44.28571429,0,28.42857143
100117,FL,28.57142857,53,51.42857143,0,36.67857143
100118,FL,58.57142857,40,22.85714286,20,30
100121,FL,38.57142857,17,45,0,26.10714286
100122,FL,41.42857143,23,73.33333333,0,39.22619048
100124,FL,85.71428571,25,70,20,47.82142857
100125,FL,77.14285714,44,41.42857143,0,35.28571429
100126,FL,45.71428571,13,62.85714286,0,32.96428571
100127,FL,51.42857143,45,37.14285714,0,31.25
100128,FL,52.85714286,23,44.28571429,0,28.75
100130,FL,45,35,40,60,44.25
100131,FL,87.14285714,16,87.14285714,10,50.07142857
100132,FL,77.14285714,41,62.85714286,0,43.10714286
100135,FL,37.14285714,25,37.14285714,0,24.82142857
100137,FL,24.28571429,19,22.85714286,10,18.82142857
100140,FL,28.57142857,56,48,20,41.05714286
100142,FL,54.28571429,49,48,0,36.87857143
100150,FL,55.71428571,9,56,50,42.72142857
100151,FL,30,81,52.85714286,20,49.39285714
100154,FL,77.14285714,56,61.42857143,0,46.28571429
100156,FL,81.42857143,29,68.33333333,0,42.72619048
100157,FL,65.71428571,19,34.28571429,10,27.53571429
100161,FL,41.42857143,15,57.14285714,0,30.75
100166,FL,55.71428571,25,64.28571429,0,37.53571429
100167,FL,54.28571429,14,54.28571429,0,30.64285714
100168,FL,92.85714286,15,51.42857143,0,33.60714286
100173,FL,32.85714286,29,22.85714286,0,19.67857143
100175,FL,56,29,77.5,10,46.35
100176,FL,71.42857143,21,80,0,44.39285714
100177,FL,65.71428571,42,50,30,44.57142857
100179,FL,70,19,47.14285714,10,33.10714286
100180,FL,42.85714286,16,33.33333333,0,21.61904762
100181,FL,65.71428571,61,80,0,53.82142857
100183,FL,40,28,58.33333333,0,34.33333333
100187,FL,72.85714286,15,70,0,39.03571429
100189,FL,75.71428571,23,44.28571429,10,33.53571429
100191,FL,94.28571429,31,35.71428571,10,33.96428571
100200,FL,78.57142857,32,68.33333333,0,43.19047619
100204,FL,80,20,51.42857143,0,33.57142857
100206,FL,60,7,76.66666667,0,38.41666667
100209,FL,61.42857143,14,67.14285714,10,39
100211,FL,84.28571429,30,58.33333333,20,44.26190476
100212,FL,84.28571429,16,27.14285714,0,23.28571429
100213,FL,75.71428571,27,41.42857143,0,30.89285714
100217,FL,100,10,71.42857143,10,43.57142857
100223,FL,92.85714286,22,67.14285714,0,41.64285714
100224,FL,97.14285714,14,75,0,43.21428571
100226,FL,100,29,75.71428571,0,47.53571429
100228,FL,94.28571429,20,62.85714286,10,42.07142857
100230,FL,92.85714286,48,45,0,39.28571429
100231,FL,87.14285714,35,47.14285714,0,36.32142857
100232,FL,20,11,48.33333333,0,24.08333333
100234,FL,74.28571429,16,38.33333333,0,26.76190476
100236,FL,85.71428571,7,62.85714286,0,35.46428571
100238,FL,84.28571429,14,67.14285714,0,38.78571429
100242,FL,72.85714286,14,72.85714286,0,39.92857143
100243,FL,71.42857143,13,52.85714286,10,34.03571429
100244,FL,55.71428571,17,35.71428571,0,24.10714286
100246,FL,100,15,61.42857143,0,38.32142857
100248,FL,75.71428571,22,55.71428571,0,35.35714286
100249,FL,62.85714286,11,32.85714286,0,22.17857143
100252,FL,100,21,51.42857143,20,40.82142857
100253,FL,58.57142857,35,77.14285714,0,45.46428571
100254,FL,87.14285714,26,28.57142857,10,29.14285714
100255,FL,38.57142857,7,41.66666667,0,22.27380952
100256,FL,70,12,22.85714286,10,21.64285714
100258,FL,88.57142857,7,51.42857143,0,31.17857143
100259,FL,80,11,50,20,35.75
100260,FL,81.42857143,21,62.85714286,0,38.53571429
100264,FL,78.57142857,22,48.57142857,10,35.28571429
100265,FL,65.71428571,36,67.14285714,0,42.42857143
100266,FL,80,80,74,0,57.6
100267,FL,75.71428571,25,96.66666667,20,57.48809524
100268,FL,64.28571429,24,60,0,36.42857143
100269,FL,80,14,52.85714286,10,35.14285714
100275,FL,95.71428571,13,32.85714286,0,25.96428571
100276,FL,94.28571429,23,45,0,33.17857143
100281,FL,97.14285714,41,52.85714286,0,41.10714286
100284,FL,60,39,43.33333333,0,33.08333333
100285,FL,81.42857143,55,60,0,45.89285714
100286,FL,78.57142857,14,61.42857143,0,35.92857143
100287,FL,68.57142857,20,35.71428571,0,26.14285714
100288,FL,40,11,45,0,24.75
100289,FL,30,54,65.71428571,10,45.28571429
100290,FL,67.14285714,23,54.28571429,0,34.17857143
100291,FL,78.57142857,29,41.42857143,30,39.17857143
100292,FL,72.85714286,75,41.66666667,10,45.20238095
100296,FL,91.42857143,34,50,0,37.64285714
100299,FL,65.71428571,29,64.28571429,10,42.03571429
100302,FL,22.85714286,12,65,10,33.78571429
100307,FL,95.71428571,24,84.28571429,10,51.78571429
100313,FL,78,92,60,30,62.3
100314,FL,100,44,18.33333333,60,43.33333333
100315,FL,90,80,40,30,52.5
100316,FL,97.14285714,46,64.28571429,0,46.92857143
100319,FL,91.42857143,70,61.66666667,0,51.30952381
100320,FL,50,25,,40,35.41666667
100321,FL,75.71428571,34,63.33333333,0,41.4047619
100322,FL,,0,,0,0
110001,GA,34.28571429,18,45.71428571,50,38.71428571
110002,GA,62.85714286,75,44,0,42.63571429
110003,GA,14.28571429,46,64.28571429,10,41.14285714
110004,GA,45,29,0,30,19.25
110005,GA,91.42857143,48,57.14285714,0,44
110006,GA,22.85714286,47,60,0,38.03571429
110007,GA,41.42857143,24,27.14285714,0,21
110008,GA,75.71428571,33,48.57142857,20,40.25
110010,GA,65.71428571,59,51.42857143,10,44.39285714
110011,GA,61.42857143,65,50,0,42.39285714
110015,GA,92,47,13.33333333,50,38.78333333
110016,GA,78.57142857,62,64.28571429,40,59.07142857
110018,GA,35.71428571,24,23.33333333,10,21.4047619
110023,GA,72.85714286,84,67.14285714,30,62.64285714
110024,GA,35.71428571,17,43.33333333,10,27.6547619
110025,GA,54.28571429,44,38.57142857,30,39.35714286
110026,GA,,75,36.66666667,60,53.7962963
110027,GA,50,29,50,0,32.25
110028,GA,78.57142857,28,30,0,26.85714286
110029,GA,15.71428571,28,62.85714286,50,46.21428571
110030,GA,31.42857143,38,65.71428571,20,43.92857143
110031,GA,52.85714286,22,24.28571429,0,20.5
110032,GA,28.57142857,32,45,10,31.35714286
110034,GA,74.28571429,9,27.14285714,0,20.53571429
110035,GA,27.14285714,26,34.28571429,0,22.92857143
110036,GA,51.42857143,14,30,10,23.14285714
110038,GA,87.14285714,43,51.42857143,0,40.03571429
110039,GA,70,35,18.33333333,20,28.08333333
110040,GA,43.33333333,67,33.33333333,70,51.91666667
110041,GA,82.85714286,52,6.666666667,40,33.95238095
110042,GA,28.57142857,36,50,70,49.35714286
110043,GA,64.28571429,14,41.42857143,10,29
110044,GA,92.85714286,34,42,70,52.08571429
110045,GA,63.33333333,33,72.5,60,58.58333333
110046,GA,62.85714286,31,54,20,40.63571429
110050,GA,,,45,90,62.30769231
110051,GA,74.28571429,63,46.66666667,50,54.3452381
110054,GA,72.85714286,45,32.85714286,0,31.67857143
110064,GA,61.42857143,15,35.71428571,10,26.67857143
110069,GA,51.42857143,36,70,20,47.14285714
110071,GA,,33,36.66666667,100,53.24074074
110073,GA,,28,46.66666667,40,39.62962963
110074,GA,28.57142857,26,51.42857143,30,37.42857143
110075,GA,52.85714286,22,38.57142857,10,28.71428571
110076,GA,71.42857143,14,48.57142857,0,30.07142857
110078,GA,58.57142857,28,54.28571429,10,37.07142857
110079,GA,64.28571429,24,34.28571429,10,28.64285714
110082,GA,50,42,30,20,32.5
110083,GA,34.28571429,30,47.14285714,20,34.78571429
110086,GA,48,45,100,80,76.05
110087,GA,35.71428571,23,55.71428571,10,34.10714286
110089,GA,84.28571429,71,62.5,60,66.17857143
110091,GA,34.28571429,12,32.85714286,0,19.57142857
110092,GA,94.28571429,53,56.66666667,70,62.8452381
110095,GA,58.57142857,40,40,60,46.85714286
110101,GA,,,40,80,55.38461538
110104,GA,62.85714286,27,46,100,56.43571429
110105,GA,87.14285714,54,63.33333333,30,55.04761905
110107,GA,48.57142857,29,32.85714286,0,25.25
110109,GA,,89,43.33333333,60,60.64814815
110111,GA,47.14285714,60,70,50,60.21428571
110113,GA,,,45,100,66.15384615
110115,GA,35.71428571,12,27.14285714,0,17.42857143
110121,GA,72,79,46.66666667,80,65.61666667
110122,GA,62.85714286,45,50,20,42.53571429
110124,GA,31.42857143,29,47.5,10,31.89285714
110125,GA,84.28571429,36,51.42857143,40,48
110128,GA,22.85714286,53,43.33333333,20,37.86904762
110129,GA,17.14285714,42,17.14285714,10,21.57142857
110130,GA,36,27,,50,38.08333333
110132,GA,85,53,33.33333333,50,47.58333333
110135,GA,35.71428571,36,65,0,38.57142857
110142,GA,,55,60,80,64.16666667
110143,GA,17.14285714,14,57.14285714,0,28.07142857
110146,GA,80,53,50,60,56.25
110150,GA,85.71428571,62,61.66666667,60,63.73809524
110153,GA,65.71428571,58,36.66666667,10,38.23809524
110161,GA,88.57142857,46,44.28571429,0,38.07142857
110164,GA,92.85714286,28,38.57142857,0,31.71428571
110165,GA,42.85714286,11,24.28571429,0,16.75
110168,GA,54.28571429,44,60,50,52.92857143
110177,GA,94.28571429,23,20,0,23.17857143
110184,GA,70,24,62.85714286,40,48.14285714
110187,GA,52.85714286,28,65,70,55.78571429
110189,GA,55.71428571,39,23.33333333,30,32.1547619
110191,GA,22.85714286,13,41.42857143,0,22.10714286
110192,GA,40,10,41.42857143,0,23.07142857
110194,GA,28,63,46.66666667,100,62.21666667
110198,GA,38.57142857,17,55,0,30.10714286
110200,GA,95,98,,0,56.66666667
110201,GA,72.85714286,29,67.5,0,41.53571429
110205,GA,43.33333333,43,30,60,42.08333333
110215,GA,48.57142857,15,52.85714286,20,34.75
110225,GA,62.85714286,19,75.71428571,50,53.82142857
110226,GA,74.28571429,28,44,10,34.52857143
110229,GA,64.28571429,41,44.28571429,30,41.89285714
110230,GA,72.85714286,53,50,40,50.53571429
110233,GA,83.33333333,99,25,0,43.08333333
120001,HI,48.57142857,44,28.57142857,40,37.28571429
120002,HI,30,18,34.28571429,50,33.71428571
120004,HI,80,23,48.33333333,70,50.58333333
120005,HI,55.71428571,22,51.42857143,50,44.14285714
120006,HI,92.85714286,61,70,90,75.03571429
120007,HI,47.14285714,31,64.28571429,30,45.67857143
120011,HI,88.57142857,65,40,100,66.10714286
120014,HI,91.42857143,62,36,80,59.04285714
120019,HI,26.66666667,8,67.5,80,51.66666667
120022,HI,82.85714286,63,64.28571429,40,59.75
120026,HI,64.28571429,69,24.28571429,40,43.39285714
120028,HI,28.57142857,39,,100,62.67857143
130002,ID,51.42857143,44,54.28571429,10,40.35714286
130003,ID,35.71428571,42,24.28571429,20,28.78571429
130006,ID,90,54,54.28571429,30,51.71428571
130007,ID,54.28571429,24,41.42857143,20,33
130013,ID,68.57142857,29,62.85714286,30,46.75
130014,ID,68.57142857,39,53.33333333,30,45.44047619
130018,ID,40,18,60,0,32.5
130025,ID,72.85714286,28,0,10,16.78571429
130028,ID,58.57142857,27,47.14285714,20,36.46428571
130049,ID,50,17,31.42857143,0,21.82142857
130063,ID,72,89,,100,90.75
130065,ID,75,26,,50,44.16666667
130066,ID,68.33333333,100,,80,86.38888889
140001,IL,51.42857143,57,26.66666667,20,35.05952381
140002,IL,71.42857143,51,55.71428571,50,54.67857143
140007,IL,64.28571429,25,71.42857143,0,41.25
140008,IL,21.42857143,15,58.57142857,0,29.32142857
140010,IL,72.85714286,17,71.42857143,0,40.10714286
140011,IL,90,62,84.28571429,20,63.21428571
140012,IL,34.28571429,59,75,50,60.67857143
140013,IL,55.71428571,31,64,20,43.92142857
140015,IL,77.14285714,48,34.28571429,20,38.42857143
140018,IL,48.57142857,19,22.85714286,10,21.25
140019,IL,,,43.33333333,0,26.66666667
140026,IL,85.71428571,47,45,10,40.82142857
140029,IL,57.14285714,40,44.28571429,0,33.42857143
140030,IL,85.71428571,41,54.28571429,0,40.53571429
140032,IL,87.14285714,39,54,40,50.06428571
140034,IL,42.85714286,61,72,50,60.83571429
140040,IL,88.57142857,38,56.66666667,0,41.02380952
140043,IL,64.28571429,50,50,30,46.42857143
140046,IL,48.57142857,31,34.28571429,0,26.32142857
140048,IL,20,21,54.28571429,0,28.96428571
140049,IL,30,18,60,0,31.5
140052,IL,100,61,66.66666667,30,59.41666667
140053,IL,67.14285714,45,42.85714286,0,35.10714286
140058,IL,42.85714286,28,25,20,26.28571429
140059,IL,45.71428571,60,60,0,43.57142857
140062,IL,68.57142857,43,57.14285714,10,42.96428571
140063,IL,34.28571429,44,65.71428571,10,43.21428571
140064,IL,71.42857143,53,56,0,42.79285714
140065,IL,71.42857143,57,61.42857143,0,45.96428571
140067,IL,55.71428571,42,24.28571429,10,28.28571429
140068,IL,,9,48,10,26.61111111
140077,IL,50,39,,50,45.41666667
140080,IL,88.57142857,50,75.71428571,0,51.64285714
140082,IL,44.28571429,12,64.28571429,0,33.14285714
140083,IL,62,,80,0,50.93333333
140084,IL,75.71428571,14,35.71428571,0,25.35714286
140088,IL,70,39,51.42857143,0,37.32142857
140089,IL,52.85714286,43,40,40,42.03571429
140091,IL,70,48,51.42857143,10,42.07142857
140093,IL,58.57142857,52,52.5,0,39.85714286
140095,IL,74.28571429,12,51.66666667,30,38.5952381
140100,IL,63.33333333,87,67.5,50,67.58333333
140101,IL,47.14285714,58,78.57142857,20,55.64285714
140103,IL,58.33333333,10,48,0,27.53333333
140110,IL,41.42857143,63,25,0,29.89285714
140113,IL,52.85714286,45,51.42857143,10,39.60714286
140114,IL,58.57142857,18,57.14285714,10,35.71428571
140115,IL,45.71428571,18,57.5,0,32.07142857
140116,IL,74.28571429,25,77.14285714,0,44.53571429
140117,IL,48.57142857,21,61.42857143,0,34.67857143
140118,IL,65.71428571,17,71.42857143,0,39.39285714
140119,IL,67.14285714,52,75.71428571,0,50
140120,IL,65.71428571,60,60,0,45.57142857
140122,IL,54.28571429,53,77.14285714,0,49.53571429
140124,IL,74.28571429,11,41.42857143,50,39.25
140125,IL,100,19,40,0,30.75
140127,IL,61.42857143,48,45,40,46.14285714
140130,IL,62.85714286,16,48.57142857,0,29.71428571
140133,IL,38.57142857,13,47.14285714,0,25.96428571
140135,IL,34.28571429,41,55.71428571,20,40.96428571
140137,IL,,50,46.66666667,40,45.74074074
140143,IL,75.71428571,72,23.33333333,0,34.9047619
140145,IL,100,99,83.33333333,40,78.08333333
140147,IL,72.85714286,72,40,0,41.28571429
140148,IL,57.14285714,23,32.85714286,0,24.60714286
140150,IL,47.14285714,15,64.28571429,0,34.17857143
140155,IL,25.71428571,31,58.57142857,0,33.75
140158,IL,55.71428571,19,54.28571429,0,32.03571429
140160,IL,85.71428571,27,26,30,33.22142857
140161,IL,71.42857143,72,45,80,63.14285714
140162,IL,70,60,47.14285714,20,45.85714286
140164,IL,72.85714286,39,28.57142857,0,28.46428571
140166,IL,80,30,41.66666667,20,37.16666667
140167,IL,38.57142857,49,86.66666667,40,60.77380952
140172,IL,47.14285714,17,32.85714286,0,22.10714286
140174,IL,71.42857143,20,47.14285714,10,33.5
140176,IL,67.14285714,21,62.85714286,0,37.10714286
140179,IL,32.85714286,29,44.28571429,0,28.25
140180,IL,65.71428571,48,75.71428571,0,48.85714286
140181,IL,63.33333333,25,50,0,32.58333333
140182,IL,64.28571429,28,22.85714286,0,22.57142857
140184,IL,94.28571429,39,41.66666667,20,40.8452381
140185,IL,62.85714286,39,52.85714286,40,47.17857143
140186,IL,72.85714286,40,57.14285714,0,40.14285714
140187,IL,97.14285714,36,31.42857143,30,38.78571429
140189,IL,50,54,40,30,42
140191,IL,74.28571429,25,75.71428571,0,43.96428571
140200,IL,44.28571429,40,91.42857143,0,51
140202,IL,85.71428571,36,75.71428571,0,47.85714286
140206,IL,40,18,30,20,25.5
140208,IL,61.42857143,30,64.28571429,0,39.35714286
140209,IL,61.42857143,41,45.71428571,0,34.67857143
140210,IL,85,36,55,70,57
140211,IL,24.28571429,36,58.57142857,0,34.85714286
140213,IL,54.28571429,60,72.85714286,0,49.57142857
140217,IL,44.28571429,42,36.66666667,10,32.0952381
140223,IL,64.28571429,36,60,0,39.42857143
140224,IL,75.71428571,49,50,0,39.82142857
140228,IL,72.85714286,41,31.42857143,0,30.10714286
140231,IL,44.28571429,29,58.57142857,0,35.10714286
140233,IL,72.85714286,36,40,0,32.28571429
140234,IL,67.14285714,81,33.33333333,30,47.79761905
140239,IL,58.57142857,25,30,0,24.10714286
140240,IL,35.71428571,24,46.66666667,10,30.73809524
140242,IL,34.28571429,42,44.28571429,0,31.64285714
140250,IL,75.71428571,22,61.42857143,0,37.64285714
140251,IL,11.42857143,10,52.85714286,0,24.78571429
140252,IL,67.14285714,29,31.42857143,0,26.53571429
140258,IL,74.28571429,35,82.85714286,0,49.32142857
140275,IL,77.14285714,20,24,20,27.31428571
140276,IL,44.28571429,20,57.14285714,0,32.28571429
140280,IL,62.85714286,17,38.57142857,10,28.46428571
140281,IL,48.57142857,24,47.14285714,0,29.71428571
140286,IL,91.42857143,34,54.28571429,0,39.35714286
140288,IL,61.42857143,47,55.71428571,0,40.17857143
140289,IL,51.42857143,33,32.85714286,10,29.03571429
140290,IL,54.28571429,38,57.14285714,0,37.78571429
140291,IL,52.85714286,31,62.85714286,0,38.17857143
140292,IL,87.14285714,19,63.33333333,0,38.79761905
140294,IL,62.85714286,43,16.66666667,20,28.70238095
140300,IL,66,44,,100,71
140304,IL,58.57142857,28,55.71428571,0,35.14285714
150001,IN,22.85714286,57,32.5,0,29.53571429
150002,IN,62.85714286,52,60,0,43.28571429
150004,IN,61.42857143,17,67.14285714,0,37.25
150005,IN,67.14285714,74,53.33333333,0,46.54761905
150006,IN,60,18,54.28571429,0,32.21428571
150007,IN,80,26,58.33333333,0,37.83333333
150008,IN,68.57142857,44,65.71428571,0,44.14285714
150009,IN,35.71428571,37,42.85714286,0,29.96428571
150010,IN,94.28571429,39,52.85714286,0,40.32142857
150011,IN,35.71428571,56,63.33333333,0,42.9047619
150012,IN,82.85714286,25,41.42857143,0,31.10714286
150015,IN,58.57142857,25,52.85714286,0,33.25
150017,IN,80,23,31.42857143,0,26.32142857
150018,IN,74.28571429,21,25.71428571,10,25.46428571
150021,IN,60,58,32.85714286,0,33.64285714
150022,IN,18.57142857,49,60,20,43.10714286
150023,IN,54.28571429,46,60,0,40.92857143
150024,IN,58.57142857,17,31.42857143,20,27.67857143
150026,IN,77.14285714,41,44.28571429,20,40.67857143
150030,IN,87.14285714,81,60,30,60.46428571
150034,IN,95.71428571,51,88.57142857,0,57.75
150035,IN,45.71428571,22,61.42857143,0,34.64285714
150037,IN,90,51,46,0,40.15
150038,IN,,,50,30,42.30769231
150042,IN,65.71428571,75,52.85714286,0,46.46428571
150044,IN,74.28571429,38,28.57142857,0,28.35714286
150045,IN,100,55,33.33333333,0,37.08333333
150046,IN,80,45,45.71428571,0,37.53571429
150047,IN,90,22,16.66666667,10,23.66666667
150048,IN,62.85714286,37,70,0,43.53571429
150051,IN,85.71428571,33,64.28571429,10,45.03571429
150056,IN,25.71428571,26,31.42857143,0,21.64285714
150057,IN,72.85714286,66,47.5,30,50.28571429
150058,IN,87.14285714,40,27.14285714,10,32.07142857
150059,IN,64.28571429,45,41.42857143,20,39.25
150061,IN,61.42857143,46,80,0,49.64285714
150064,IN,98.33333333,69,36.66666667,0,41.75
150065,IN,65.71428571,79,38,40,51.52142857
150069,IN,45.71428571,77,46,10,44.72142857
150072,IN,52.85714286,24,56.66666667,10,36.45238095
150074,IN,60,48,51.42857143,0,38.57142857
150075,IN,100,54,36.66666667,40,48.16666667
150076,IN,80,34,40,10,35
150082,IN,50,39,22.85714286,0,23.89285714
150084,IN,61.42857143,32,21.42857143,0,22.71428571
150086,IN,38.57142857,31,36.66666667,30,33.77380952
150088,IN,47.14285714,40,56.66666667,0,37.38095238
150089,IN,38.57142857,21,44.28571429,0,26.82142857
150090,IN,72.85714286,21,18.57142857,0,19.96428571
150091,IN,100,86,60,40,65.5
150097,IN,67.14285714,58,75,20,56.21428571
150100,IN,30,37,30,0,24.25
150101,IN,74,68,36.66666667,50,51.56666667
150102,IN,,,76.66666667,0,47.17948718
150104,IN,35.71428571,59,70,0,46.32142857
150109,IN,28.57142857,46,40,0,30.35714286
150112,IN,58.57142857,67,25.71428571,10,35.39285714
150113,IN,82.85714286,41,68.57142857,10,48.46428571
150115,IN,40,69,54,20,47.85
150125,IN,68.57142857,56,57.14285714,0,43.71428571
150126,IN,68.57142857,17,48.57142857,0,30.53571429
150128,IN,77.14285714,48,28.57142857,0,31.14285714
150129,IN,87.14285714,63,43.33333333,30,49.29761905
150133,IN,58.57142857,40,58,0,39.05714286
150146,IN,94.28571429,77,50,10,51.17857143
150149,IN,100,64,50,,61.33333333
150150,IN,100,44,42.5,20,43
150153,IN,82,67,58,0,48.15
150157,IN,72.85714286,42,56,30,47.68571429
150158,IN,57.14285714,48,74,0,47.31428571
150160,IN,61.66666667,100,,60,76.94444444
150161,IN,75.71428571,51,21.42857143,0,28.89285714
150162,IN,70,37,50,10,38.75
150164,IN,67.14285714,63,56.66666667,50,57.63095238
150165,IN,57.14285714,43,35,0,30.46428571
150166,IN,26.66666667,89,,0,41.52777778
150167,IN,86.66666667,77,,20,54.86111111
150168,IN,88.33333333,61,,30,52.63888889
150169,IN,68.57142857,55,45.71428571,0,38.89285714
150173,IN,55.71428571,23,45.71428571,0,29.60714286
150175,IN,95,82,56,10,54.9
150177,IN,94,98,,0,56.5
150181,IN,97.14285714,70,,50,66.19047619
150182,IN,92,100,,70,86.16666667
160001,IA,40,21,50,90,51.75
160005,IA,51.42857143,92,50,50,60.64285714
160008,IA,51.42857143,34,26.66666667,40,34.30952381
160013,IA,44.28571429,13,3.333333333,60,24.01190476
160016,IA,34.28571429,48,60,40,49.42857143
160024,IA,32.85714286,40,55.71428571,40,45.57142857
160028,IA,58.57142857,32,55.71428571,40,46.14285714
160029,IA,50,71,55.71428571,90,67.53571429
160030,IA,85.71428571,46,41.66666667,30,44.23809524
160032,IA,70,42,20,50,38
160033,IA,42.85714286,20,60,0,33.28571429
160040,IA,81.42857143,55,33.33333333,10,37.72619048
160045,IA,34.28571429,42,58.57142857,30,44.85714286
160047,IA,54.28571429,59,44.28571429,40,47.89285714
160057,IA,22.85714286,26,50,70,46.28571429
160058,IA,54.28571429,27,42.85714286,0,29.32142857
160064,IA,30,23,41.42857143,30,32.82142857
160067,IA,38.57142857,22,48.57142857,10,31.28571429
160069,IA,70,67,67.14285714,20,55.60714286
160079,IA,32.85714286,28,67.14285714,40,47.14285714
160080,IA,77.14285714,22,76.66666667,0,43.88095238
160082,IA,52.85714286,37,28.57142857,10,28.46428571
160083,IA,37.14285714,24,14.28571429,30,22.92857143
160089,IA,65.71428571,9,60,40,42.82142857
160101,IA,15.71428571,24,,30,25.11904762
160104,IA,70,46,70,40,56.5
160110,IA,60,34,50,20,39.5
160112,IA,55.71428571,59,33.33333333,50,46.1547619
160117,IA,68.57142857,56,36.66666667,0,35.52380952
160122,IA,95.71428571,82,46.66666667,100,73.73809524
160124,IA,21.42857143,59,50,20,41.89285714
160146,IA,34.28571429,18,64.28571429,30,41.14285714
160147,IA,88.33333333,72,30,80,58.83333333
160153,IA,61.42857143,23,38.57142857,10,29.82142857
170006,KS,70,22,42.5,30,37
170009,KS,,60,43.33333333,30,44.25925926
170010,KS,58,37,10,80,39.05
170012,KS,42.85714286,33,38.57142857,0,27.96428571
170013,KS,38.57142857,44,71.42857143,0,43.42857143
170014,KS,72.85714286,47,56.66666667,10,44.20238095
170016,KS,68.57142857,28,48.57142857,10,35.78571429
170017,KS,61.66666667,65,23.33333333,60,46.75
170020,KS,54.28571429,18,21.42857143,30,26
170023,KS,95.71428571,29,66.66666667,0,43.48809524
170027,KS,44.28571429,58,6.666666667,0,21.5952381
170039,KS,,,40,60,47.69230769
170040,KS,61.42857143,57,48.57142857,0,39.82142857
170049,KS,48.57142857,39,51.42857143,0,35.17857143
170058,KS,78.33333333,55,20,60,44.58333333
170068,KS,58.57142857,29,23.33333333,70,39.94047619
170074,KS,32.85714286,62,50,40,48.78571429
170075,KS,,,50,80,61.53846154
170086,KS,70,37,60,0,40.25
170094,KS,30,67,73.33333333,90,71.58333333
170103,KS,32.85714286,40,70,30,48.78571429
170104,KS,64.28571429,67,44.28571429,0,40.89285714
170105,KS,,20,36.66666667,80,44.07407407
170109,KS,83.33333333,75,80,40,69.08333333
170120,KS,30,41,33.33333333,40,36.58333333
170122,KS,51.42857143,18,25.71428571,0,19.92857143
170123,KS,100,21,45.71428571,0,33.53571429
170133,KS,88.57142857,40,56.66666667,40,51.52380952
