Facility ID,State,Clinical Outcomes Score,Person and Community Engagement Score, Safety Score,Efficiency and Cost Reduction Score,TPS
220135,MA,50,26,15,20,27.75
220163,MA,52,20,32,0,26
220171,MA,88,26,28,0,35.5
220175,MA,40,17,10,0,16.75
220176,MA,40,20,34,0,23.5
230002,MI,36,34,18,30,29.5
230003,MI,55,58,,100,71
230005,MI,54,34,3.333333333,70,40.33333333
230015,MI,27.5,41,,60,42.83333333
230017,MI,54,51,10,40,38.75
230019,MI,72,17,42,20,37.75
230020,MI,64,18,28,0,27.5
230021,MI,52,23,16,30,30.25
230022,MI,37.5,11,50,40,34.625
230024,MI,56,11,44,0,27.75
230029,MI,52,23,30,10,28.75
230030,MI,46,49,,0,31.66666667
230031,MI,76,32,,70,59.33333333
230035,MI,60,49,,60,56.33333333
230036,MI,30,64,77.5,20,47.875
230037,MI,25,41,,60,42
230038,MI,48,32,18,20,29.5
230041,MI,72,11,54,10,36.75
230046,MI,80,39,16,20,38.75
230047,MI,56,12,32,0,25
230053,MI,72,22,20,0,28.5
230054,MI,26,38,40,0,26
230055,MI,54,35,10,40,34.75
230058,MI,30,56,,50,45.33333333
230059,MI,28,52,36,40,39
230066,MI,44,29,38,50,40.25
230069,MI,55,36,,60,50.33333333
230070,MI,28,25,64,0,29.25
230072,MI,66,57,27.5,90,60.125
230075,MI,36,22,18,30,26.5
230077,MI,40,19,8,0,16.75
230080,MI,62,43,100,30,58.75
230081,MI,66,64,0,80,52.5
230089,MI,90,46,26,40,50.5
230092,MI,38,29,26,40,33.25
230093,MI,10,43,,60,37.66666667
230095,MI,66,53,,20,46.33333333
230097,MI,70,47,28,50,48.75
230099,MI,44,11,44,20,29.75
230100,MI,27.5,49,,70,48.83333333
230104,MI,80,17,34,0,32.75
230105,MI,50,34,74,30,47
230108,MI,37.5,77,,10,41.5
230110,MI,47.5,31,,100,59.5
230117,MI,42,18,32,40,33
230118,MI,44,24,,80,49.33333333
230121,MI,47.5,53,90,40,57.625
230130,MI,86,14,18,0,29.5
230132,MI,52,15,46,20,33.25
230133,MI,55,50,50,60,53.75
230141,MI,50,13,54,10,31.75
230142,MI,52,14,22,30,29.5
230146,MI,30,12,44,20,26.5
230151,MI,82,17,26,10,33.75
230156,MI,76,35,22,30,40.75
230165,MI,78,16,32,0,31.5
230167,MI,54,27,24,30,33.75
230174,MI,66.66666667,53,,40,53.22222222
230176,MI,64,35,24,0,30.75
230180,MI,27.5,56,,60,47.83333333
230193,MI,34,18,82.5,10,36.125
230195,MI,54,13,18,0,21.25
230197,MI,60,22,16,10,27
230207,MI,34,27,15,0,19
230208,MI,25,72,,20,39
230216,MI,46,23,28,30,31.75
230217,MI,38,64,20,90,53
230222,MI,38,39,40,20,34.25
230227,MI,36,13,56,20,31.25
230230,MI,68,16,28,10,30.5
230236,MI,26,39,42,50,39.25
230239,MI,28,53,,90,57
230241,MI,13.33333333,29,,70,37.44444444
230244,MI,68,22,0,10,25
230254,MI,38,18,48,20,31
230259,MI,45,95,,90,76.66666667
230269,MI,76,24,18,0,29.5
230270,MI,44,28,20,10,25.5
230273,MI,47.5,12,14,0,18.375
230277,MI,46,27,24,0,24.25
230297,MI,35,67,26.66666667,10,34.66666667
230302,MI,48,25,26,30,32.25
230303,MI,52,33,,100,61.66666667
240001,MN,46,26,40,30,35.5
240002,MN,48,27,32,0,26.75
240004,MN,40,20,40,20,30
240006,MN,35,79,,80,64.66666667
240010,MN,88,90,32,20,57.5
240014,MN,43.33333333,75,,100,72.77777778
240018,MN,40,85,,60,61.66666667
240019,MN,30,37,46.66666667,20,33.41666667
240020,MN,30,72,,90,64
240022,MN,10,52,,90,50.66666667
240030,MN,40,37,20,50,36.75
240036,MN,76,38,2,30,36.5
240038,MN,50,31,32,30,35.75
240040,MN,13.33333333,49,5,10,19.33333333
240043,MN,54,17,75,80,56.5
240044,MN,45,53,,60,52.66666667
240047,MN,44,26,24,10,26
240050,MN,42.5,32,,50,41.5
240052,MN,12.5,51,,60,41.16666667
240053,MN,42,37,50,50,44.75
240056,MN,56,57,10,40,40.75
240057,MN,54,40,16,30,35
240059,MN,53.33333333,81,,100,78.11111111
240063,MN,40,13,64,10,31.75
240064,MN,32.5,43,,70,48.5
240066,MN,35,85,86.66666667,60,66.66666667
240069,MN,27.5,57,,70,51.5
240071,MN,0,66,,90,52
240075,MN,38,48,17.5,100,50.875
240076,MN,50,56,,100,68.66666667
240078,MN,76,19,52,30,44.25
240080,MN,56,23,10,10,24.75
240084,MN,25,24,,100,49.66666667
240088,MN,30,25,30,80,41.25
240093,MN,58,22,44,30,38.5
240100,MN,38,20,54,50,40.5
240101,MN,52.5,63,,100,71.83333333
240104,MN,42.5,43,,50,45.16666667
240106,MN,32,22,54,10,29.5
240115,MN,66,28,40,60,48.5
240141,MN,25,58,,60,47.66666667
240166,MN,15,25,,100,46.66666667
240187,MN,36.66666667,69,,80,61.88888889
240207,MN,60,28,32,60,45
240210,MN,52.5,12,50,40,38.625
240213,MN,65,49,85,70,67.25
240214,MN,65,45,47.5,100,64.375
250001,MS,22,26,38,0,21.5
250004,MS,28,31,20,0,19.75
250006,MS,50,73,,20,47.66666667
250007,MS,44,14,30,0,22
250009,MS,22,70,30,10,33
250019,MS,32,22,20,0,18.5
250020,MS,36.66666667,40,,0,25.55555556
250025,MS,3.333333333,34,35,0,18.08333333
250031,MS,26,20,48,0,23.5
250034,MS,26,46,52,30,38.5
250036,MS,0,46,,30,25.33333333
250038,MS,26.66666667,91,,60,59.22222222
250040,MS,10,33,34,0,19.25
250042,MS,20,48,,10,26
250043,MS,3.333333333,40,,10,17.77777778
250044,MS,23.33333333,80,,70,57.77777778
250048,MS,32,31,30,0,23.25
250050,MS,27.5,25,75,10,34.375
250057,MS,12.5,88,35,0,33.875
250058,MS,36,35,28,30,32.25
250067,MS,30,20,,40,30
250069,MS,18,16,30,0,16
250072,MS,50,13,66,0,32.25
250077,MS,0,27,,30,19
250078,MS,14,26,8,0,12
250082,MS,30,29,87.5,10,39.125
250084,MS,46,35,90,0,42.75
250085,MS,13.33333333,47,,100,53.44444444
250093,MS,55,29,50,10,36
250094,MS,30,38,14,0,20.5
250095,MS,13.33333333,44,,10,22.44444444
250096,MS,13.33333333,23,,0,12.11111111
250097,MS,36,9,37.5,0,20.625
250099,MS,20,29,32,10,22.75
250100,MS,30,40,52,20,35.5
250102,MS,46,31,20,0,24.25
250104,MS,24,40,38,0,25.5
250117,MS,20,17,50,50,34.25
250123,MS,40,36,50,10,34
250138,MS,46,24,27.5,20,29.375
250141,MS,36,10,8,20,18.5
250162,MS,36.66666667,66,,10,37.55555556
250167,MS,25,61,,50,45.33333333
250168,MS,25,55,,0,26.66666667
260001,MO,36,26,34,0,24
260005,MO,48,18,20,0,21.5
260006,MO,46,22,28,20,29
260009,MO,28,19,36.66666667,70,38.41666667
260011,MO,36,33,16,30,28.75
260017,MO,14,25,58,0,24.25
260020,MO,84,28,20,0,33
260022,MO,44,20,50,40,38.5
260023,MO,48,42,10,10,27.5
260024,MO,0,22,,30,17.33333333
260025,MO,40,20,15,0,18.75
260032,MO,56,41,4,0,25.25
260040,MO,28,18,12,20,19.5
260047,MO,32,40,30,30,33
260048,MO,30,22,30,30,28
260050,MO,25,30,,10,21.66666667
260052,MO,36,23,37.5,40,34.125
260057,MO,12,10,100,0,30.5
260059,MO,35,18,,50,34.33333333
260061,MO,23.33333333,35,,20,26.11111111
260062,MO,48,29,15,20,28
260064,MO,26,22,,70,39.33333333
260068,MO,46,40,18,20,31
260070,MO,30,,100,0,43.33333333
260074,MO,48,43,25,50,41.5
260077,MO,72,15,18,20,31.25
260078,MO,28,31,36.66666667,50,36.41666667
260081,MO,42,30,58,30,40
260085,MO,88,22,75,0,46.25
260091,MO,52,27,12,0,22.75
260094,MO,46,32,40,40,39.5
260095,MO,40,21,18,0,19.75
260096,MO,24,34,34,0,23
260097,MO,55,41,,50,48.66666667
260102,MO,46.66666667,34,90,100,67.66666667
260104,MO,42,16,26,0,21
260105,MO,32.5,11,2,0,11.375
260108,MO,64,38,24,10,34
260110,MO,48,37,30,0,28.75
260113,MO,45,26,100,40,52.75
260119,MO,4,14,46,0,16
260137,MO,24,17,36,0,19.25
260138,MO,68,49,18,0,33.75
260142,MO,20,37,,60,39
260160,MO,0,41,,60,33.66666667
260162,MO,63.33333333,72,66.66666667,90,73
260163,MO,45,18,,40,34.33333333
260175,MO,37.5,49,,60,48.83333333
260176,MO,30,52,,40,40.66666667
260177,MO,8,23,62,0,23.25
260179,MO,64,44,12,30,37.5
260180,MO,42,27,32,0,25.25
260183,MO,40,32,46,20,34.5
260186,MO,16,16,87.5,60,44.875
260190,MO,56,44,40,30,42.5
260191,MO,50,30,65,10,38.75
260193,MO,78,38,13.33333333,50,44.83333333
260195,MO,38,26,70,70,51
260200,MO,70,22,48,0,35
260214,MO,25,26,,70,40.33333333
260216,MO,64,47,30,20,40.25
260219,MO,36,40,,20,32
